[simplemethods:2089]    classlist:   1,275.96 ms,  0.96 GB
[simplemethods:2089]        (cap):     517.70 ms,  0.96 GB
setY, SimpleMethods
getX, SimpleMethods
two, SimpleMethods
getNumber, SimpleMethods
callAverage, SimpleMethods
empty, SimpleMethods
sumOfTwo, SimpleMethods
getY, SimpleMethods
setY, SimpleMethods
sumOfTen, SimpleMethods
sumOfTenWithLocal, SimpleMethods
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
startsWith, java.lang.String
length, java.lang.String
coder, java.lang.String
indexOf, java.lang.String
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
<init>, java.lang.NoClassDefFoundError
<init>, java.lang.LinkageError
<init>, java.lang.Error
getSuperHub, java.lang.Class
getSuperHub, java.lang.Class
hasDefaultMethods, java.lang.Class
getInterfaces, java.lang.Class
hasDefaultMethods, java.lang.Class
declaresDefaultMethods, java.lang.Class
<init>, java.lang.Error
<init>, java.lang.LinkageError
<init>, java.lang.Error
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
<init>, java.io.CharConversionException
<init>, java.io.IOException
<init>, java.lang.Exception
<init>, java.io.CharConversionException
<init>, java.io.IOException
<init>, java.lang.Exception
<init>, java.io.CharConversionException
<init>, java.io.IOException
<init>, java.lang.Exception
<init>, java.lang.Exception
<init>, java.io.IOException
<init>, java.lang.Exception
nullHandle, com.oracle.svm.jni.JNIObjectHandles
isInLocalRange, com.oracle.svm.jni.JNIObjectHandles
decodeLocal, com.oracle.svm.jni.JNIObjectHandles
<init>, java.lang.RuntimeException
<init>, java.lang.Exception
<init>, java.util.IdentityHashMap
<init>, java.util.AbstractMap
<init>, java.util.AbstractMap
handleException, com.oracle.svm.jni.functions.JNIFunctions$Support
nullHandle, com.oracle.svm.jni.JNIObjectHandles
nullHandle, com.oracle.svm.jni.JNIObjectHandles
toGlobal, com.oracle.svm.jni.JNIImageHeapHandles
handleException, com.oracle.svm.jni.functions.JNIFunctions$Support
handleException, com.oracle.svm.jni.functions.JNIFunctions$Support
handleException, com.oracle.svm.jni.functions.JNIFunctions$Support
<init>, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
append, java.lang.StringBuilder
<init>, java.lang.NoSuchFieldError
